Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,-17.83,30.33,Top,0.0
C1,-38.25,77.60,Top,270.0
C2,-36.17,77.62,Top,270.0
C3,27.23,27.81,Top,270.0
C4,-9.91,15.20,Top,270.0
C5,-10.85,22.60,Top,0.0
C6,-34.65,75.79,Top,270.0
C7,-19.49,12.72,Top,0.0
C8,26.19,27.81,Top,270.0
C9,22.10,27.81,Top,270.0
C10,21.06,27.81,Top,270.0
C11,20.02,27.81,Top,270.0
C12,18.97,27.81,Top,270.0
C13,17.93,27.81,Top,270.0
C14,16.89,27.81,Top,270.0
C15,15.85,27.81,Top,270.0
C16,14.81,27.81,Top,270.0
C17,27.81,11.96,Top,180.0
C18,-17.83,20.04,Top,180.0
C20,33.55,35.13,Top,180.0
C21,37.85,28.52,Top,0.0
C22,-27.05,40.56,Top,90.0
C23,40.14,25.47,Top,180.0
CHRG,-19.34, 5.01,Top,270.0
D1,-24.85,17.79,Top,180.0
D2,-24.87,16.08,Top,180.0
D3,-11.79,15.16,Top,270.0
D4,32.61,31.57,Top,90.0
D5,30.78,31.57,Top,270.0
D6,34.47,31.57,Top,90.0
ESP32,-24.16,74.73,Top,270.0
IC4,35.84,23.29,Top,270.0
J1,19.50,83.00,Top,180.0
J2,-42.11,70.87,Top,90.0
J3,-40.56,63.65,Top,90.0
J4,-39.09,14.55,Top,270.0
L1,37.87,31.93,Top,180.0
LDO,-10.85,19.40,Top,90.0
Q1,-27.18,25.45,Top,90.0
Q2,42.24,32.72,Top,270.0
Q3,42.24,28.52,Top,90.0
Q4,37.87,36.22,Top,180.0
Q5,-14.83,10.92,Top,90.0
Q6, 6.63,31.90,Top,270.0
R1,-27.18,27.38,Top,0.0
R2,-34.65,77.98,Top,270.0
R3,-27.18,23.44,Top,180.0
R4,42.85,25.47,Top,180.0
R5,-20.81, 7.06,Top,90.0
R6,41.63,35.10,Top,180.0
R7,41.63,36.14,Top,180.0
R8,30.78,24.10,Top,180.0
R9,27.94,31.12,Top,0.0
R10,-18.20, 7.06,Top,270.0
R11,-12.40, 8.13,Top,0.0
R12,-14.48, 8.13,Top,180.0
R13,-29.13,40.56,Top,90.0
R14,-28.09,40.56,Top,270.0
R15,-37.19,15.80,Top,180.0
R16,-37.19,12.83,Top,180.0
R17, 5.82,36.86,Top,0.0
R18, 4.37,33.35,Top,270.0
R19, 4.37,31.27,Top,90.0
R20,-22.78,40.67,Top,90.0
R21,-23.83,40.67,Top,90.0
R22,-26.31,35.41,Top,90.0
RESET,-43.08,54.94,Top,270.0
SD_CARD,30.81,15.27,Top,90.0
U1,-19.50, 9.98,Top,180.0
DISPLAY,22.00,23.00,Top,0.0
LED,12.30,37.38,Top,0.0
TOUCH,-35.28,51.38,Top,0.0
